,BERTLabels,id,date,title_zh,proposal_zh,date_zh,category_zh,proposal_state_zh,reason_denial_zh,reason_withdrawel_zh,seconds,reason_failure_zh,Category,title_en,proposal_en,date_en,category_en,proposal_state_en,reason_denial_en,reason_withdrawel_en,seconds.1,reason_failure_en,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,label
119,Parking and traffic management in Taipei City,120,2017-11-15,建議市區違停熱點路段，在人行道與道路邊緣增設欄杆,台北市區道路路邊違規停車情形嚴重，道路寬度已經不大，長期下來導致壅塞及車流混亂等情形（如附件連結新聞影片所示），也未見巡邏員警積極處理道路違規停車情形，且違規停車情形多為停靠路邊接送人員、至店家購買商品或是店家進出貨，建議市政府在主要違停熱點路段的人行道與道路邊增設欄杆（如附件圖所示），增加違規停車所形成原因的難度，藉此達到消滅路邊違規停車的情形。,106年11月15日,交通運輸,附議不通過,附議不通過(未達3000則),,1,附議不通過(未達3000則),, It is recommended to add railings on sidewalks and road edges in hot spots of illegal parking in urban areas,"Illegal parking on the side of the road in downtown Taipei is serious, and the width of the road is no longer large, which leads to congestion and chaotic traffic in the long run (as shown in the attached news video). Illegal parking situations are mostly parking on the side of the road to pick up people, go to stores to buy goods, or stores to import and export goods. It is recommended that the municipal government add railings on the sidewalks and roadsides of the main illegal parking hotspots (as shown in the attached picture) to increase the number of illegal parking places. The difficulty of forming the cause, thereby reaching the situation of eliminating illegal parking on the side of the road.", 106 Year 11 moon 15 day, Transportation, Seconded not passed, Seconded not passed ( not reached 3000 but ),,1, Seconded not passed ( not reached 3000 but ),,,,,,,,
120,"
Dance Venues in Taipei",121,2017-11-15,台北市50年老房都更,因台北市民生社區有許多老房、公寓，都已經老舊，希望政府能夠進行安全檢驗,106年11月15日,都市發展與更新,附議不通過,附議不通過(未達3000則),,9,附議不通過(未達3000則),, Taipei City 50 Elderly housing is more," Because there are many old houses and apartments in Taipei Minsheng Community, they are all old. I hope the government can conduct safety inspections", 106 Year 11 moon 15 day, Urban Development and Renewal, Seconded not passed, Seconded not passed ( not reached 3000 but ),,9, Seconded not passed ( not reached 3000 but ),,,,,,,,
121,Public Housing and Child Care Subsidies,122,2017-11-17,5歲幼兒入學補助就讀私立幼兒園應與就讀公立幼兒園金額一致,"現行「幼兒就學費用補助」內容如下：「設籍臺北市之學齡5歲幼兒就學費用補助：就讀公立幼兒園者，每學期補助新臺幣5,543元（全日班）或新臺幣3,235元（半日班）；就讀私立幼兒園者，依家戶總所得之不同，每學期補助新臺幣2,543元至1萬2,543元不等。」
?
依據公告的「台北市106學年度公立幼兒園收費基準」5歲就讀幼兒園的一學期$7000、雜費$2955及5個月的活動費$230*5、材料費$345*5，共$12830皆由台北市教育局負擔；反觀就讀私立幼兒園的補助金額卻依家戶所得不同補助每學期補助新臺幣2,543元至1萬2,543元不等。
?
如果以5歲入學學費全補助的觀點來看，應該不論公私立幼兒園都補助$12543或$12830，不該依家戶所得而有分別；因為公立幼兒園已經有政府補助辦園經費，所以家長要負擔的學費已經相較於私立幼兒園少很多，所有費用合計，以一學期五個月來估算的話，公幼平均月支出$4576；但台北市的私立幼兒園卻都是$15000~$25000甚至更多，無法念到公立幼兒園必須轉念私立幼兒園的家長負擔已經足足比公立幼兒園每個月多了$10,000(含)以上甚至更多。
?
而公立幼兒園的5歲就學補助，是不論家庭所得級距為何，都可享有高達$12830的補助；私立幼兒園卻因家戶所得差距有$2543到1萬2543元的差距，事實上，不論家戶所得差距皆可去抽公立幼兒園。更遑論公立幼兒園在補助低收入戶、清貧家庭入學後，還有一個同校教職人員子女優先的順位，剩下的名額才給一般家庭去抽。
?
建議請齊一公私立幼兒園的五歲入學補助金額，不論家戶所得、不分公私立幼兒園，統一5歲入學補助標準。取消私立幼兒園必須再依家戶所得級距有不同補助金額，不論公、私立幼兒園5歲入學補助金額應一致。",106年11月17日,教育及體育,附議不通過,附議不通過(未達3000則),,0,附議不通過(未達3000則),, 5 Entrance subsidies for children under 10 years old who attend private kindergartens should be the same amount as those who attend public kindergartens," The content of the current ""School Subsidy for Young Children"" is as follows: ""School-age children registered in Taipei City 5 Subsidy for school expenses for children under 10 years old: those who attend public kindergartens will receive a subsidy of NT$ per semester5,543 Yuan (full-time class) or New Taiwan dollars 3,235 NT$ (half-day class); those who attend private kindergartens will be subsidized NT$ per semester according to the total income of the household 2,543 yuan to 1 Ten thousand 2,543 Yuan varies. "" ? According to the announced ""Taipei City 106 School Year Public Kindergarten Fee Benchmark” 5 1 semester in Kindergarten $7000 , incidentals $2955 and 5 monthly activity fee $230*5 ,material fee $345*5 ,common $12830 All are borne by the Taipei City Bureau of Education; on the other hand, the amount of subsidy for private kindergartens varies according to the income of each household. 2,543 yuan to 1 Ten thousand 2,543 Yuan varies. ? if with 5 From the point of view of the full subsidy of tuition fees at the age of 18, kindergartens should be subsidized regardless of whether they are public or private. $12543 or $12830 it should not be differentiated according to household income; because public kindergartens have been subsidized by the government to run kindergartens, the tuition fees parents have to bear are much less than those of private kindergartens. If the sum of all expenses is estimated based on five months a semester , the average monthly expenditure of public and child $4576 ; but private kindergartens in Taipei are all $15000~$25000 Even more, the burden of parents who cannot go to public kindergartens and must switch to private kindergartens is already more than that of public kindergartens every month $10,000( contain ) The above and more. ? public kindergartens 5 Year-old school subsidy, no matter what the family income level is, you can enjoy up to $12830 subsidies; private kindergartens are limited due to the income gap between households $2543 arrive 1 Ten thousand 2543In fact, regardless of the income gap between households, they can go to public kindergartens. Not to mention that after public kindergartens subsidize low-income households and poor families to enroll, there is still a priority for the children of teaching staff at the same school, and the remaining places are drawn for ordinary families. ? It is suggested that the amount of five-year-old admission subsidies for public and private kindergartens should be unified, regardless of household income and regardless of public and private kindergartens. 5 Year-old admission subsidy standard. The cancellation of private kindergartens must have different subsidy amounts according to the household income level, regardless of public or private kindergartens 5 The amount of admission subsidy should be the same.", 106 Year 11 moon 17 day, Education and Sports, Seconded not passed, Seconded not passed ( not reached 3000 but ),,0, Seconded not passed ( not reached 3000 but ),,,,,,,,
122,Taipei MRT station naming and location,123,2017-11-18,捷運廢掉小碧潭站 ,每次搭松山新店線 要去公館很不方便 常常遇到到台電大樓的車 只好再等下一班 我相信也有很多人有這種困擾?,106年11月18日,交通運輸,檢核不通過,提案緣起及背景說明不明確，且未擬具體之說明及選項方案,i-Voting是一項網路投票機制，本案因提案緣起及背景說明、選項方案設定，不易進行議題討論及投票，建議您可參考相關資料進一步規劃選項方案後再提案。,0,因提案緣起及背景說明不明確，且未擬具具體之說明及選項方案,, MRT Abolishes Xiaobitan Station," Every time I take the Songshan Xindian Line to go to the mansion, it is very inconvenient. I often encounter the bus to the Taipower Building and have to wait for the next bus. I believe many people also have this kind of trouble. ?", 106 Year 11 moon 18 day, Transportation, Check failed," The origin and background description of the proposal is not clear, and no specific description and options have been proposed"," i-Voting It is an online voting mechanism. In this case, due to the origin of the proposal, the background description, and the setting of options, it is not easy to discuss and vote on the topic. It is recommended that you refer to relevant materials to further plan the options before making a proposal.",0," Because the origin and background description of the proposal is not clear, and no specific description and options have been prepared",,,,,,,,
123,Traffic Management in Zhongshan North Road,124,2017-11-20,取消忠孝西路台北車站前禁行機車,"大家都知道，台北車站前忠孝西路有一段路是禁行機車
在市長拆除忠孝橋引道與道路重新規劃後
台北市的忠孝西路塞車情況已有明顯改善
但是對於機車族還是並不方便
如果要從忠孝橋下來或是要從中山北路通往忠孝橋
就必須要往市民大道或是經由中山南路右轉經由許多小巷到達中華路再轉向忠孝西路待轉
現今的機車已不像以前一樣速度緩慢
在一般時間經過非常的不方便
應該要開放機車通行",106年11月20日,交通運輸,附議不通過,附議不通過(未達3000則),,16,附議不通過(未達3000則),, Cancellation of ban on motorcycles on Zhongxiao West Road in front of Taipei Main Station,"Everyone knows that there is a section of Zhongxiao West Road in front of Taipei Main Station that is closed to locomotives. After the mayor demolished the Zhongxiao Bridge approach and re-planned the road, the traffic jam on Zhongxiao West Road in Taipei City has improved significantly, but it is still inconvenient for motorcycle owners. If you want to come down from Zhongxiao Bridge or from Zhongshan North Road to Zhongxiao Bridge, you have to go to Civic Avenue or turn right through Zhongshan South Road and go through many alleys to Zhonghua Road and then turn to Zhongxiao West Road. The current locomotives are not like before. The same speed is slow, and it is very inconvenient to pass through at ordinary times. It should be open to locomotives.", 106 Year 11 moon 20 day, Transportation, Seconded not passed, Seconded not passed ( not reached 3000 but ),,16, Seconded not passed ( not reached 3000 but ),,,,,,,,
124,Traffic violations and penalties in Taiwan,125,2017-11-20,酒駕初犯重罰50萬,"台灣酒駕罰不怕，因為罰太清，
比照國外的日本酒駕就罰五年，
台灣根本是支持酒駕國家，
台灣一天車禍平均死亡人數10人以上。
支持加重酒駕罰則，請大家踴躍支持。",106年11月20日,交通運輸,檢核不通過,非純屬本府職權事務,有關本案所提將「 酒駕初犯重罰50萬」建議內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,, Heavy penalty for first offense of drunk driving 50 Ten thousand," Taiwan is not afraid of drunk driving fines, because the fines are too clear. Compared with foreign countries, Japan’s drunk driving fines are five years. Taiwan is a country that supports drunk driving. The average number of deaths in a car accident in Taiwan per day 10 more than one person. Support the increase of drunk driving penalties, please actively support.", 106 Year 11 moon 20 day, Transportation, Check failed, It is not purely a matter of the government's authority," Regarding the proposal in this case to impose heavy fines on first-time drunk driving offenders 50The content of the proposal is the responsibility of the central government. According to the ""Key Points of the Taipei City Government's Online Voting Operation"", this case is not the responsibility of the Taipei City Government. The scope of the proposal is limited to the business scope of the Taipei City Government's jurisdiction, so this case does not enter the secondary discussion .",0, The content of the proposal belongs to the central power management business,,,,,,,,
125,Traffic violations and penalties in Taiwan,126,2017-11-21,提高酒駕罰款 金額調整為當事人年收入的1成,"鑑於酒駕頻傳
調高罰則才能有效的起到避免酒駕的效用
調成這樣的罰則
就算是有錢人也會三思避免酒駕",106年11月21日,交通運輸,檢核不通過,非純屬本府職權事務,有關本案所提將「 酒駕初犯重罰50萬」建議內容屬中央政府權責，依據「臺北市政府網路投票作業要點」本案非屬臺北市政府權責，提案範圍以臺北市政府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容係屬中央權管業務,, Increase the amount of drunk driving fines adjusted to the party's annual income 1 become," In view of the frequent reports of drunk driving, raising the penalty can effectively prevent drunk driving. Even rich people will think twice about avoiding drunk driving.", 106 Year 11 moon twenty one day, Transportation, Check failed, It is not purely a matter of the government's authority," Regarding the proposal in this case to impose heavy fines on first-time drunk driving offenders 50The content of the proposal is the responsibility of the central government. According to the ""Key Points of the Taipei City Government's Online Voting Operation"", this case is not the responsibility of the Taipei City Government. The scope of the proposal is limited to the business scope of the Taipei City Government's jurisdiction, so this case does not enter the secondary discussion .",0, The content of the proposal belongs to the central power management business,,,,,,,,
126,Public Housing and Child Care Subsidies,127,2017-11-23,國家應該允許房齡單位已經40年左右的房子拆除重建,"台灣位於板塊交界處
地震頻繁
最近科學家指出2018年強震將有約20起左右
希望國家應該允許房齡單位已經40年左右的房子拆除重建
穩固房子 強化防震系統
費用必須自籌 政府必須適當補助
已保護各位國民的人身安全
?",106年11月23日,都市發展與更新,附議不通過,附議不通過(未達3000則),,3,附議不通過(未達3000則),, The country should allow housing-age units already 40 Years old house demolished and rebuilt, Taiwan is located at the junction of plates. Earthquakes are frequent. Scientists recently pointed out that 2018 Strong earthquakes will be about 20 From left to right hope the state should allow housing age units already 40 Houses demolished and rebuilt around the year to stabilize the house Strengthening the earthquake-proof system costs must be self-financed The government must provide appropriate subsidies to protect the personal safety of all citizens ?, 106 Year 11 moon twenty three day, Urban Development and Renewal, Seconded not passed, Seconded not passed ( not reached 3000 but ),,3, Seconded not passed ( not reached 3000 but ),,,,,,,,
127,"
Dance Venues in Taipei",128,2017-11-23,建議  拆除違建的費用由違建戶自己付錢,違建的違規套房失火 ?燒出人命,106年11月23日,都市發展與更新,檢核不通過,已依民眾提案執行或納入要執行者,「臺北市違章建築強制拆除收費自治條例」及「臺北市違章建築強制拆除收費標準」業於105年修正發布(相關資訊公告於https://www.laws.taipei.gov.tw/lawsystem/wfHome.aspx)，爰本市現已實施向違建所有人收取強制拆除費用，按違建構造類別及拆除面積計算，並加收百分之五之行政成本費用，不足新臺幣五百元者，以五百元計算，故本案不進入附議。,0,本市現已實施向違建所有人收取強制拆除費用，按違建構造類別及拆除面積計算，並加收百分之五之行政成本費用，不足新臺幣五百元者，以五百元計算，故本案不進入附議。,,It is suggested that the cost of demolition of illegal construction should be paid by the households of illegal construction, Illegal suite in illegal building catches fire ? burn out, 106 Year 11 moon twenty three day, Urban Development and Renewal, Check failed, Has been implemented according to the public proposal or included in the implementation," ""Taipei City Autonomous Regulations on Charges for Compulsory Demolition of Illegal Buildings"" and ""Taipei City Compulsory Demolition Charges for Illegal Buildings"" were revised and released in 2015 (relevant information announcement is at https://www.laws.taipei.gov.tw/lawsystem/wfHome .aspx), the city has now implemented compulsory demolition fees from owners of illegal structures, calculated according to the type of illegal structures and the area to be demolished, and an additional 5% of the administrative cost, if it is less than NT$500, The calculation is based on 500 yuan, so this case does not go into secondment.",0," This city has already implemented the compulsory demolition fee from the owner of the illegal building, calculated according to the type of the illegal building structure and the demolition area, and an additional 5% of the administrative cost, if it is less than NT$500, it will be calculated at NT$500 , so this case does not enter secondment.",,,,,,,,
128,Education innovation in Taiwan,129,2017-11-24,剷除黑板樹,黑板樹每到冬季所散發的氣味令人做嘔，而且容易引發幼兒上呼吸道不適,106年11月24日,環保生態,檢核不通過,提案緣起及背景說明不明確，且未擬具體之說明及選項方案,i-Voting是一項網路投票機制，本案因提案緣起及背景說明、選項方案設定，不易進行議題討論及投票，建議您可參考相關資料進一步規劃選項方案後再提案。,0,因提案緣起及背景說明不明確，且未擬具具體之說明及選項方案,, Eradicate blackboard tree," The smell of the blackboard tree every winter is disgusting, and it is easy to cause upper respiratory tract discomfort in young children", 106 Year 11 moon twenty four day, Environmental protection and ecology, Check failed," The origin and background description of the proposal is not clear, and no specific description and options have been proposed"," i-Voting It is an online voting mechanism. In this case, due to the origin of the proposal, the background description, and the setting of options, it is not easy to discuss and vote on the topic. It is recommended that you refer to relevant materials to further plan the options before making a proposal.",0," Because the origin and background description of the proposal is not clear, and no specific description and options have been prepared",,,,,,,,
129,"
Dance Venues in Taipei",130,2017-11-25,國中小學校增設1～2名警察,預防發生霸凌.陌生人入侵……等等等,106年11月25日,教育及體育,附議不通過,附議不通過(未達3000則),,4,附議不通過(未達3000則),, Addition of elementary and junior high schools1 ~ 2 policeman, Bullying Prevention . The Stranger Invasion... blah blah blah, 106 Year 11 moon 25 day, Education and Sports, Seconded not passed, Seconded not passed ( not reached 3000 but ),,4, Seconded not passed ( not reached 3000 but ),,,,,,,,
130,Public Housing and Child Care Subsidies,131,2017-11-26,提議者訴求國家重視全台灣長照服務員，醫院照服工作比照最低時薪標準，機構照顧服務員月薪提高至3萬元以上,"根據勞動部基本工資審議委員會，勞工的基本時薪將從2018年元旦起從133元提高至140元，但現行台灣的各大醫院的看護人員的薪資，依然大多維持在12小時照護1300，24小時照護2200，這種低於勞工基本時薪，甚至不足100元的窘境，因此希望政府及衛服部能夠重視此事，重視所有醫院照顧服務員的權益。
??????? 從2016年衛福部成立長照科技小組至今，照顧服務員的薪資依然低迷不見起色，至今也即將跨入了2018年，機構服務的照顧服務員薪資，依然沒有設計出一套合理的標準，仍然在3萬元以上不斷打轉。
??????? 希望政府不要總是告訴照顧服務員們，錢在哪裡、錢何時進來、錢準備進來多少..等沒意義的問題上打轉，請用行動的方式來確定錢一定能流到第一線辛苦的照顧服務員手中，而不是一定叫照顧服務員要忍耐、要有愛心、要有做功德的心，這些事情基本上沒有意義，已經讓照顧服務員等太久，忍耐太久了。
??? 在此呼籲全臺灣長照服務員能夠自發性的串聯起來，能夠好好利用這一次的聯署，能夠不分北中南不分彼此發出我們照服員的怒吼！訴求該有的尊重、福利， 將我們所遭遇到的問題攤在陽光下，不要黑箱作業，也不要欺凌壓迫我們這些長照人員。讓長照服務員不要比外勞還要更沒尊嚴，真正保障臺灣籍長照人員工作權與重視薪資所得結構。 ??? 公平對待長照照顧服務員工時，薪資所得，一個一般的7-11工讀生都可以讓自己的時薪比一個擁有基礎醫護照料及受訓90個小時以上的照服員的時薪骸高，這真的是一件合理的事情嗎?",106年11月26日,法令與權益,檢核不通過,非純屬本府職權事務,有關本案提請國家重視全臺灣長照服務員等訴求，涉及全國整體性之通盤政策，依「臺北市政府網路投票作業要點」提案範圍以本府權管之業務範圍內為限，因此本案不進入附議。,0,提案內容非屬本府權管業務,," The proponent appeals to the state to pay more attention to the long-term care attendants in Taiwan, and the minimum hourly wage standard for hospital care service work, and the monthly salary of institutional care attendants to be raised to 3 More than 10,000 yuan"," According to the Basic Wage Review Committee of the Ministry of Labor, the basic hourly wages of workers will start from 2018 From New Year's Day 133 Yuan raised to 140 Yuan, but the salaries of nursing staff in major hospitals in Taiwan are still mostly maintained at 12 hourly care 1300 , twenty four hourly care 2200 , which is lower than the basic hourly wage of workers, or even insufficient 100 Yuan's dilemma, so I hope the government and the Ministry of Health Service can pay attention to this matter and the rights and interests of all hospital care workers. ??????? from 2016 Since the Ministry of Health and Welfare established the long-term photo technology team in 2010, the salaries of caregivers are still sluggish, and they are about to enter the 2018In 2009, the salaries of caregivers in institutional services still have not designed a set of reasonable standards and are still in the 3 More than 10,000 yuan keeps spinning. ??????? Hope the government doesn't always tell care workers where the money is, when it's coming in, and how much it's going to come in .. Waiting for meaningless issues, please use actions to ensure that the money will flow to the hands of the hard-working caregivers on the front line, instead of telling the caregivers to be patient, caring, and virtuous. Things basically don't make sense, and the caretaker has been made to wait and endure for too long. ???Here we call on all Taiwan long-term care service staff to spontaneously connect together, make good use of this joint signature, and let our service staff roar regardless of whether they are north, central, or south! Appeal for the respect and welfare that we deserve, spread the problems we encounter in the sun, don't work in a black box, and don't bully and oppress us long-term care personnel. Let long-term care workers not be less dignified than foreign workers, truly protect the working rights of Taiwanese long-term care workers and pay attention to the salary income structure. ??? When treating employees of long-term care services fairly, the salary income, a general 7-11 Work-study students can make their hourly wages better than those with basic medical care and training 90 Is it really a reasonable thing that the hourly wages of the service staff who work more than an hour are high? ?", 106 Year 11 moon 26 day, Laws and Rights, Check failed, It is not purely a matter of the government's authority,"This case calls for the country to pay attention to the demands of the long-term care service providers in Taiwan, which involves the overall policy of the whole country. According to the scope of the ""Taipei City Government Online Voting Operation Key Points"" proposal is limited to the business scope under the jurisdiction of the government, so this case does not enter Seconded.",0, The content of the proposal does not belong to the government's power management business,,,,,,,,
131,Traffic Management in Zhongshan North Road,132,2017-11-26,菜市場內禁行機車,"菜市場為社區民眾採買生活用品以及食材的處所，也是居民不分老老少少都會前往的地方，但很多民眾為了方便，騎乘機車在菜市場內橫行，不僅影響其他民眾的路權，也不時看到機車在市場內不停的排放廢氣。麻煩政府單位予以規範。以下為幾項我的論點。
1. 各個區民前往菜市場理論上為步行即可到達的距離，如果距離不方便可以騎乘單車進入，進去市場後改為下車推腳踏車。如需要載送購買物品，還是可以帶手推車。
2. 原本已經不夠寬廣的路面已經有攤販, 行人, 嬰兒推車, 菜籃車, 腳踏車。機車在菜市場的路面上移動，會讓其他逛街人士不停地閃躲它，讓已經很壅擠的市場，增加更多行的困難。
3. 台北的夜市已經全面禁止機車進入，我提議菜市場在營業時段也應該效仿。
4. 機車在菜市場內移動距離因為壅塞的關係，行駛距離都很短，不斷地走走停停，取而代之的是不停的排放廢氣。不僅影響人體健康，也影響菜市場內生鮮蔬果的品質。
?
?",106年11月26日,交通運輸,附議不通過,附議不通過(未達3000則),,37,附議不通過(未達3000則),, Motorcycles are prohibited in the vegetable market," The vegetable market is a place for the community to buy daily necessities and ingredients, and it is also a place where residents, old and young, go. However, for convenience, many people ride motorcycles in the vegetable market, which not only affects the right of way of other people, but also sees The locomotives continuously emit exhaust gas in the market. Trouble government units to regulate. Here are a few of my arguments. 1. Residents in the district can theoretically walk to the vegetable market. If the distance is inconvenient, they can ride a bicycle to enter the market. After entering the market, they can get off and push a bicycle instead. You can still bring a trolley if you need to deliver your purchases. 2. There are already street vendors on the road that is not wide enough , pedestrian , baby cart , food basket ,bicycle. The movement of the locomotive on the road in the vegetable market will make other shoppers dodge it constantly, making it more difficult for the already crowded market. 3. The night markets in Taipei have completely prohibited the entry of motorcycles, and I suggest that the vegetable markets should follow suit during business hours. 4. The moving distance of the locomotive in the vegetable market is very short due to the congestion. It not only affects human health, but also affects the quality of fresh fruits and vegetables in the vegetable market. ??", 106 Year 11 moon 26 day, Transportation, Seconded not passed, Seconded not passed ( not reached 3000 but ),,37, Seconded not passed ( not reached 3000 but ),,,,,,,,
132,Public Housing and Child Care Subsidies,133,2017-11-27,房屋實坪制 為何只有台灣買房要買公設?還要付額外管理費 ,"公共設施應該是買房的附加價值才對!
怎麼會要民眾自己買樓梯 買大廳有的沒的都買 而且還是強制
就是老百姓自己不會蓋房子 才需要建商啊?
你說5%還好 但是 建商越來越坑
公共設施故意給你建的超多
房屋的坪數就給你減少 還可以增加 比較多戶的數量
賺取更多的利潤?
可憐的是老百姓?
政府建商都賺錢?
再來 要我們買公共設施 還要按坪數的繳管理費
這是一個合法詐欺的行為
這些本來就是我們買房的附加價值
你買房 怎麼可能不建樓梯?
那你會想 對啊 怎麼可能不建樓梯
但建商就會把樓梯 建的多一點
大廳多一點 什麼空間都多建設一點?
這樣分到的錢才會多
反正在台灣 沒有違法 是合法的?
這叫合法鍊金?
再來每個月收管理費 建商又收的到錢?
真的是永續經營呀~~!!! 一戶管理費 8000元好了 有50戶
一個月合法鍊金40萬呀 40萬呀 有哪個老百姓 一個月可以安安穩穩賺50萬
除了 政府官員拿回扣以外
憑什麼 叫我們買 公設 又要繳管理費
繳管理費固然是對的 但 公設 應該是買房的附加價值?
買房本來就要有樓梯啊 不然你叫我用飛的? 建商已經賺得夠多了
?",106年11月27日,都市發展與更新,檢核不通過,非純屬本府職權事務,有關房屋實坪制等相關建議，涉中央內政部權責，依「臺北市政府網路投票作業要點」提案範圍以本府權管之業務範圍內為限，因此不進入附議。,0,提案內容係屬中央權管業務,, Why is it that only Taiwan needs to buy a public house when buying a house under the real flat system? ? additional management fee," Public facilities should be the added value of buying a house ! Why do people have to buy stairs and halls by themselves and buy everything else, and it’s still compulsory because the people don’t know how to build houses, so they need builders. ? you say 5% It’s okay, but the builders are getting more and more cheating on public facilities. The pings of the super-many houses deliberately built for you will be reduced for you. You can also increase the number of relatively large households to earn more profits.? poor people ? Government builders make money ? Next, if we want to buy public facilities, we have to pay management fees according to the number of square meters. This is a legal and fraudulent behavior. These are the added value of our house purchase. How can you buy a house without building stairs? ? Then you will think right, how could it be possible not to build stairs, but the builder will build more stairs, more halls, more spaces, and more spaces? ? In this way, the money will be distributed more. Anyway, there is no violation of law in Taiwan. It is legal. ? This is legal alchemy ? Next, the monthly management fee will be collected by the builder. ? It's really a sustainable business ~~!!! One account management fee 8000 Yuan is good 50 One-month legal alchemy per household 40 Wan Ya 40 Wan, is there any ordinary person who can make a safe and stable income for a month? 50 In addition to government officials getting kickbacks, why do we have to pay management fees to buy public facilities? It is true that public facilities should be the added value of buying a house. ?You need to have stairs when you buy a house, otherwise you told me to fly ? Builders have earned enough ?", 106 Year 11 moon 27 day, Urban Development and Renewal, Check failed, It is not purely a matter of the government's authority," Suggestions related to the real estate system and other related proposals involve the authority and responsibility of the Central Ministry of the Interior. According to the ""Key Points of Online Voting Operations of the Taipei City Government"", the scope of the proposal is limited to the business scope under the jurisdiction of the government, so it will not be included in the second discussion.",0, The content of the proposal belongs to the central power management business,,,,,,,,
133,Education innovation in Taiwan,134,2017-11-27,電子軟體開發應用硬體維護與中華民國教育,"在柯文哲市長支持電子競技情況下，許多台灣人開始對台灣教育產生紊亂。
在我所知有半數以上的台灣人認為執行應用程式設計或遊戲腳本，角色設計等利用電腦操作的行為，定義為玩電腦。
常常聽的到一句話""不要再玩電腦了，趕快去認真讀書比較實在。""
但是在這個全球化的時代，讀書讀到大學畢業，碩士，博士出來又有什麼用意呢?
有多少人不是每天耗在手機電腦上，上著Facebook，LINE，Twitter等社交軟體。與瀏覽Yahoo，Google等搜尋引擎，看著蘋果日報，自由時報等新聞媒體。
?
在我所知有半數以上的台灣學子在就讀高中國中時，必須強迫參加夜間輔導，暑假輔導，寒假輔導，即使他們不願意。
我在想這些時間是否就可以足夠用來作為其他課外的休憩娛樂。
學子們想要的到底是要讀書，還是休息? 應該由他們自己選擇。而不是因為大人繳了錢他們就要去。
?
試想，如果有一間大學的電子遊戲設計系，需要的是軟體專才，那你再讀多少書又有什麼用?
如果說未來的工作不是興趣，那在高中國中時適時將興趣結合工作，那是否可能扭轉一個小孩的未來?
?
?
?
?",106年11月27日,教育及體育,檢核不通過,非純屬本府職權事務,有關本提案電子軟體開發應用硬體維護與中華民國教育，涉及全國性之電子軟體教育政策建議，依「臺北市政府網路投票作業要點」提案範圍以本府權管之業務範圍內為限，因此本案不進入附議。,0,,," Electronic software development, application hardware maintenance and education in the Republic of China"," With Mayor Ke Wenzhe's support for e-sports, many Taiwanese began to have disturbances in Taiwan's education. As far as I know, more than half of the Taiwanese think that the behavior of using computer operations such as executing application program design or game scripts, character design, etc. is defined as playing computer. often hear a word "" Don't play computer anymore, it's more practical to go to study seriously. "" But in this era of globalization, what's the point of studying until you graduate from university, get a master's degree, or get a doctor's degree? ? How many people don’t spend every day on mobile phones and computers, Facebook ,LINE , twitter and other social software. and browse Yahoo! , Google Waiting for search engines, looking at Apple Daily, Liberty Times and other news media. ? As far as I know, more than half of the Taiwanese students are forced to participate in night tutoring, summer tutoring, and winter tutoring when they are in high school, even if they don't want to. I wonder if these hours are enough for other extracurricular recreation. What students want is to study or rest ? It should be their choice. It's not that they are going because the adults paid the money. ? Just imagine, if there is a university's video game design department that needs software professionals, then what is the use of how many books you read? ? If the job in the future is not a hobby, then combining hobbies with work in high school at the right time, is it possible to reverse a child's future? ? ? ? ?", 106 Year 11 moon 27 day, Education and Sports, Check failed, It is not purely a matter of the government's authority,"Regarding the electronic software development, application hardware maintenance and ROC education, this proposal involves national electronic software education policy recommendations. According to the ""Taipei City Government Internet Voting Operation Key Points"", the scope of the proposal is limited to the business scope under the jurisdiction of the government. Therefore, the case does not enter secondment.",0, #N/A,,,,,,,,
